date_ist,type,org,contact,channel,subject,status,next_action,notes
2026-09-11,supplier,Apollo,sales2@appollotech.com,email,RFQ MagSafe puck OEM,sent,await reply,
2026-09-11,supplier,MANOVO,15626067430@163.com,email,OEM AI desk agent,sent,await reply,
2026-09-11,supplier,Vishesh EMS,info@vitems.in,email,NPI India EMS,sent,await reply,
2026-09-11,supplier,Mefron,sales@mefron.com,email,Startup EMS,sent,await reply,
2026-09-11,supplier,Yecheng,sales@yechengjd.com,email,CNC Al enclosure,sent,await reply,
2026-09-11,investor,Kindred,hello@kindredventures.com,email,Axiom pitch,sent,await reply,
2026-09-11,investor,Uncork,pitches@uncorkcapital.com,email,Axiom pitch,sent,await reply,
2026-09-11,investor,Peak XV,contactus@peakxv.com,email,Surge interest,sent,await reply,
2026-09-11,supplier,Umax,info@umaxpower.com,email,LiPo RFQ,sent,await reply,
2026-09-11,supplier,Jetray,wuwh@jetray.cn,email,IEC/UN38.3,sent,await reply,
2026-09-11,investor,Lux,info@luxcapital.com,email,Axiom pitch,sent,await reply,
2026-09-11,investor,Forerunner,investments@forerunnerventures.com,email,Axiom pitch,sent,await reply,
2026-09-11,investor,HCVC,contact@hardwareclub.co,email,Hardtech intro,sent,await reply,
2026-09-11,supplier,Prokyor,prokyor@prokyor.com,email,Startup EMS,sent,await reply,
2026-09-11,supplier,Cionlabs,contact@cionlabs.com,email,NPI assist,sent,await reply,
2026-09-11,supplier,DNK Power,sales@dnkpower.com,email,Battery RFQ,sent,await reply,
